Date,pm25_daily_mean,pm25_daily_mean_interpolated,was_interpolated,high_pm25_day,year,month,season,temperature_2m_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,cloud_cover_mean,wind_gusts_10m_max,et0_fao_evapotranspiration,wind_direction_sin,wind_direction_cos
2021-04-27,8.53475,8.53475,False,0,2021,4,Spring,9.3,73.0,4.6,3.1,8.5,357.0,1010.4,12.95,89.0,39.2,2.04,-0.05233595624294437,0.9986295347545738
2021-04-28,10.315272727272728,10.315272727272728,False,0,2021,4,Spring,7.6,67.0,1.6,0.5,19.5,53.0,1010.5,14.34,71.0,52.9,2.33,0.7986355100472928,0.6018150231520484
2021-04-29,5.523875,5.523875,False,0,2021,4,Spring,5.8,72.0,0.9,1.0,9.5,4.0,1013.0,18.15,55.0,32.8,2.28,0.0697564737441253,0.9975640502598242
2021-04-30,7.822416666666666,7.822416666666666,False,0,2021,4,Spring,5.6,74.0,1.1,1.3,6.5,38.0,1016.0,19.28,42.0,29.9,2.42,0.6156614753256583,0.7880107536067219
2021-05-01,7.733958333333334,7.733958333333334,False,0,2021,5,Spring,6.8,68.0,0.7,1.6,6.1,26.0,1017.6,20.1,44.0,23.8,2.61,0.4383711467890774,0.898794046299167
2021-05-02,12.013583333333335,12.013583333333335,False,0,2021,5,Spring,6.8,73.0,2.0,1.3,8.6,256.0,1019.7,19.33,54.0,37.1,2.55,-0.9702957262759965,-0.24192189559966779
2021-05-03,4.98825,4.98825,False,0,2021,5,Spring,7.4,87.0,5.3,21.8,19.3,185.0,1006.2,4.39,97.0,74.2,0.85,-0.08715574274765794,-0.9961946980917455
2021-05-04,2.5501666666666667,2.5501666666666667,False,0,2021,5,Spring,6.8,81.0,3.8,5.4,23.5,290.0,996.8,8.45,93.0,66.2,1.38,-0.9396926207859083,0.342020143325669
2021-05-05,6.017166666666667,6.017166666666667,False,0,2021,5,Spring,5.9,73.0,0.9,0.8,11.4,285.0,1007.7,20.75,53.0,41.8,2.46,-0.9659258262890684,0.2588190451025203
2021-05-06,3.7137083333333334,3.7137083333333334,False,0,2021,5,Spring,5.6,75.0,1.3,2.7,13.3,283.0,1006.9,19.57,52.0,55.1,2.28,-0.9743700647852352,0.22495105434386492
2021-05-07,5.560125,5.560125,False,0,2021,5,Spring,7.3,75.0,3.0,1.6,9.8,277.0,1014.0,20.66,45.0,37.4,2.5,-0.992546151641322,0.12186934340514768
2021-05-08,3.9151249999999997,3.9151249999999997,False,0,2021,5,Spring,9.4,82.0,6.5,16.5,18.6,148.0,1001.1,3.82,100.0,54.4,1.07,0.5299192642332049,-0.848048096156426
2021-05-09,3.619375,3.619375,False,0,2021,5,Spring,13.1,78.0,9.1,2.9,17.5,189.0,993.4,11.62,91.0,48.2,2.18,-0.15643446504023073,-0.9876883405951378
2021-05-10,4.972458333333333,4.972458333333333,False,0,2021,5,Spring,11.6,74.0,7.0,3.8,21.2,186.0,995.3,18.23,62.0,64.4,2.85,-0.1045284632676535,-0.9945218953682733
